"Instrument Name","Timestamp UTC","Ambient Temp [C]","Battery [V]","0000_Serial","0000_Thick [мм]","0000_Qual","0000_Temp [C]","0002_Serial","0002_Thick [мм]","0002_Qual","0002_Temp [C]","0004_Serial","0004_Thick [мм]","0004_Qual","0004_Temp [C]"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:30:42",null,null,"2019-02298","7.84995",4,"29.2","2019-02289","8.23883",4,"28.6","2019-02297","7.81488",4,"29.5"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:30:46",null,null,"2019-02298","7.85022",4,"29.2","2019-02289","8.23844",4,"28.6","2019-02297","7.81491",4,"29.6"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:30:50",null,null,"2019-02298","7.85019",4,"29.2","2019-02289","8.23844",4,"28.7","2019-02297","7.81489",4,"29.6"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:30:54",null,null,"2019-02298","7.85022",4,"29.1","2019-02289","8.23833",4,"28.7","2019-02297","7.81491",4,"29.5"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:30:58",null,null,"2019-02298","7.85033",4,"29.1","2019-02289","8.23827",4,"28.6","2019-02297","7.81494",4,"29.5"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:31:02",null,null,"2019-02298","7.85033",4,"29.1","2019-02289","8.23821",4,"28.7","2019-02297","7.81494",4,"29.6"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:31:06",null,null,"2019-02298","7.85031",4,"29.1","2019-02289","8.23826",4,"28.7","2019-02297","7.81494",4,"29.4"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:31:10",null,null,"2019-02298","7.85031",4,"29.2","2019-02289","8.23819",4,"28.8","2019-02297","7.81487",4,"29.7"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:31:14",null,null,"2019-02298","7.85025",4,"29.2","2019-02289","8.23821",4,"28.7","2019-02297","7.81484",4,"29.6"
"new instrument (Tryba 108 tryboprov 39)","2023-03-30 08:31:19",null,null,"2019-02298","7.85021",4,"29.2","2019-02289","8.23813",4,"28.7","2019-02297","7.81484",4,"29.6"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:39:42",null,null,"2019-02298","7.85004",3,"28.2","2019-02289","8.23821",4,"27.8","2019-02297","7.81484",4,"29"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:39:46",null,null,"2019-02298","7.8496",3,"28.1","2019-02289","8.24825",4,"27.8","2019-02297","7.81161",4,"28.9"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:39:50",null,null,"2019-02298","7.84914",3,"28.2","2019-02289","8.24853",4,"27.8","2019-02297","7.81154",4,"29"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:39:54",null,null,"2019-02298","7.8496",3,"28.1","2019-02289","8.24859",4,"27.8","2019-02297","7.8116",4,"28.9"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:39:57",null,null,"2019-02298","7.84922",3,"28.2","2019-02289","8.2486",4,"27.7","2019-02297","7.81159",4,"28.9"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:40:02",null,null,"2019-02298","7.84927",3,"28.3","2019-02289","8.2486",4,"27.8","2019-02297","7.81159",4,"29.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:40:06",null,null,"2019-02298","7.84927",3,"28.1","2019-02289","8.24862",4,"27.8","2019-02297","7.81151",4,"29"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:40:10",null,null,"2019-02298","7.84961",3,"28.2","2019-02289","8.24864",4,"27.8","2019-02297","7.81151",4,"29"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:40:14",null,null,"2019-02298","7.84961",3,"28.2","2019-02289","8.24868",4,"27.7","2019-02297","7.81155",4,"29"
"new instrument (Tryba 108 tryboprov 39)","2023-04-07 11:40:18",null,null,"2019-02298","7.84952",3,"28.2","2019-02289","8.2487",4,"27.8","2019-02297","7.81158",4,"28.8"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:09",null,null,"2019-02298","7.84937",3,"31.1","2019-02289","8.24879",4,"30.3","2019-02297","7.81155",4,"32.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:13",null,null,"2019-02298","7.84539",3,"31","2019-02289","8.24912",4,"30.4","2019-02297","7.80541",4,"32.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:18",null,null,"2019-02298","7.84531",3,"31.2","2019-02289","8.24918",4,"30.3","2019-02297","7.80531",4,"32.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:22",null,null,"2019-02298","7.84535",3,"31","2019-02289","8.24921",4,"30.3","2019-02297","7.80531",4,"32.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:26",null,null,"2019-02298","7.84533",3,"31.1","2019-02289","8.24923",4,"30.3","2019-02297","7.80523",4,"32.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:31",null,null,"2019-02298","7.84535",3,"31.1","2019-02289","8.24924",4,"30.4","2019-02297","7.8052",4,"32.4"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:35",null,null,"2019-02298","7.84536",3,"31.1","2019-02289","8.24926",4,"30.3","2019-02297","7.8052",4,"32.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:39",null,null,"2019-02298","7.84537",3,"31.1","2019-02289","8.24926",4,"30.3","2019-02297","7.80521",4,"32.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:44",null,null,"2019-02298","7.84537",3,"31.2","2019-02289","8.2492",4,"30.3","2019-02297","7.80521",4,"32.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-17 12:56:48",null,null,"2019-02298","7.84534",3,"31.1","2019-02289","8.24915",4,"30.4","2019-02297","7.80528",4,"32.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:08:52",null,null,"2019-02298","7.84528",3,"40.1","2019-02289","8.24914",4,"39.9","2019-02297","7.80528",4,"41.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:08:56",null,null,"2019-02298","7.83545",3,"40.2","2019-02289","8.22864",4,"39.9","2019-02297","7.80743",4,"41"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:01",null,null,"2019-02298","7.83545",3,"40.2","2019-02289","8.22861",4,"39.8","2019-02297","7.80743",4,"41.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:05",null,null,"2019-02298","7.83523",3,"40.2","2019-02289","8.22836",4,"39.9","2019-02297","7.8074",4,"41.3"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:09",null,null,"2019-02298","7.83523",3,"40.2","2019-02289","8.22841",4,"39.9","2019-02297","7.80726",4,"41.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:13",null,null,"2019-02298","7.8356",3,"40.1","2019-02289","8.22838",4,"39.8","2019-02297","7.80726",4,"41.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:17",null,null,"2019-02298","7.83569",3,"40.2","2019-02289","8.22838",4,"39.9","2019-02297","7.80727",4,"41.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:21",null,null,"2019-02298","7.8356",3,"40","2019-02289","8.22838",4,"39.8","2019-02297","7.80729",4,"41.1"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:25",null,null,"2019-02298","7.83549",3,"40","2019-02289","8.22835",4,"39.9","2019-02297","7.80729",4,"41.2"
"new instrument (Tryba 108 tryboprov 39)","2023-04-28 12:09:39",null,null,"2019-02298","7.83549",3,"40","2019-02289","8.2285",4,"39.8",,,,
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:08",null,null,"2019-02298","7.8355",3,"32.6","2019-02289","8.2285",4,"31.6","2019-02297","7.8073",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:13",null,null,"2019-02298","7.83819",3,"32.5","2019-02289","8.24605",4,"31.7","2019-02297","7.81081",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:16",null,null,"2019-02298","7.83819",3,"32.6","2019-02289","8.24605",4,"31.7","2019-02297","7.81086",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:21",null,null,"2019-02298","7.83817",3,"32.6","2019-02289","8.24605",4,"31.6","2019-02297","7.81081",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:25",null,null,"2019-02298","7.83817",3,"32.5","2019-02289","8.24611",4,"31.7","2019-02297","7.81086",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:30",null,null,"2019-02298","7.83837",3,"32.5","2019-02289","8.24611",4,"31.7","2019-02297","7.81086",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:34",null,null,"2019-02298","7.83837",3,"32.5","2019-02289","8.24609",4,"31.7","2019-02297","7.81086",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:38",null,null,"2019-02298","7.83831",3,"32.6","2019-02289","8.24609",4,"31.7","2019-02297","7.81084",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:42",null,null,"2019-02298","7.83831",3,"32.5","2019-02289","8.24613",4,"31.6","2019-02297","7.81084",4,"33.5"
"new instrument (Tryba 108 tryboprov 39)","2023-05-05 12:19:46",null,null,"2019-02298","7.83831",3,"32.6","2019-02289","8.24617",4,"31.6","2019-02297","7.81086",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:28",null,null,"2019-02298","7.83839",3,"32.4","2019-02289","8.24617",4,"32.6","2019-02297","7.81093",4,"33.4"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:33",null,null,"2019-02298","7.84328",3,"32.4","2019-02289","8.24538",4,"32.5","2019-02297","7.81249",4,"33.2"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:37",null,null,"2019-02298","7.84328",3,"32.5","2019-02289","8.24532",4,"32.5","2019-02297","7.81251",4,"33.4"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:41",null,null,"2019-02298","7.84318",3,"32.4","2019-02289","8.24532",4,"32.4","2019-02297","7.81259",4,"33.3"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:45",null,null,"2019-02298","7.84303",3,"32.4","2019-02289","8.24544",4,"32.5","2019-02297","7.81252",4,"33.4"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:50",null,null,"2019-02298","7.84309",3,"32.5","2019-02289","8.24544",4,"32.5","2019-02297","7.81259",4,"33.2"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:54",null,null,"2019-02298","7.84309",3,"32.5","2019-02289","8.24538",4,"32.4","2019-02297","7.81266",4,"33.2"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:22:58",null,null,"2019-02298","7.84322",3,"32.3","2019-02289","8.24535",4,"32.4","2019-02297","7.81266",4,"33.2"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:23:02",null,null,"2019-02298","7.84325",3,"32.4","2019-02289","8.24535",4,"32.4","2019-02297","7.81266",4,"33.3"
"new instrument (Tryba 108 tryboprov 39)","2023-05-12 07:23:06",null,null,"2019-02298","7.84328",3,"32.4","2019-02289","8.24536",4,"32.4","2019-02297","7.81259",4,"33.3"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:22",null,null,"2019-02298","7.84328",3,"33.2","2019-02289","8.24554",4,"32.9","2019-02297","7.81259",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:27",null,null,"2019-02298","7.84915",3,"33.2","2019-02289","8.24782",4,"32.9","2019-02297","7.80929",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:30",null,null,"2019-02298","7.8492",3,"33.2","2019-02289","8.24786",4,"32.9","2019-02297","7.80929",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:35",null,null,"2019-02298","7.84922",3,"33.2","2019-02289","8.24795",4,"32.9","2019-02297","7.80929",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:39",null,null,"2019-02298","7.84932",3,"33.2","2019-02289","8.24786",4,"32.9","2019-02297","7.8093",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:43",null,null,"2019-02298","7.84935",3,"33.1","2019-02289","8.24795",4,"32.9","2019-02297","7.80924",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:47",null,null,"2019-02298","7.84935",3,"33.2","2019-02289","8.24784",4,"32.9","2019-02297","7.80924",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:51",null,null,"2019-02298","7.84939",3,"33.2","2019-02289","8.2478",4,"32.8","2019-02297","7.80923",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:55",null,null,"2019-02298","7.84939",3,"33.2","2019-02289","8.24772",4,"32.9","2019-02297","7.80923",4,"33.7"
"new instrument (Tryba 108 tryboprov 39)","2023-05-26 11:34:59",null,null,"2019-02298","7.84933",3,"33.3","2019-02289","8.24771",4,"32.9","2019-02297","7.80925",4,"33.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:28:49",null,null,"2019-02298","7.84922",3,"36.4","2019-02289","8.24758",4,"35.2","2019-02297","7.80925",4,"37.1"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:28:53",null,null,"2019-02298","7.84691",3,"36.4","2019-02289","8.24144",4,"35.2","2019-02297","7.80834",4,"37.3"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:28:58",null,null,"2019-02298","7.84664",3,"36.3","2019-02289","8.24141",4,"35.4","2019-02297","7.80834",4,"37.1"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:02",null,null,"2019-02298","7.84676",3,"36.4","2019-02289","8.24138",4,"35.3","2019-02297","7.80829",4,"37.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:06",null,null,"2019-02298","7.84669",3,"36.5","2019-02289","8.24137",4,"35.4","2019-02297","7.80829",4,"37.3"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:09",null,null,"2019-02298","7.84669",3,"36.4","2019-02289","8.24137",4,"35.3","2019-02297","7.80827",4,"37.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:14",null,null,"2019-02298","7.84666",3,"36.4","2019-02289","8.24135",4,"35.3","2019-02297","7.80819",4,"37.3"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:18",null,null,"2019-02298","7.84653",3,"36.5","2019-02289","8.2415",4,"35.3","2019-02297","7.80827",4,"37.1"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:22",null,null,"2019-02298","7.84666",3,"36.5","2019-02289","8.24144",4,"35.2","2019-02297","7.80819",4,"37.3"
"new instrument (Tryba 108 tryboprov 39)","2023-06-02 11:29:26",null,null,"2019-02298","7.84678",3,"36.5","2019-02289","8.24144",4,"35.3","2019-02297","7.80829",4,"37.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:14",null,null,"2019-02298","7.84683",3,"36.1","2019-02289","8.24137",4,"36","2019-02297","7.80829",4,"36.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:20",null,null,"2019-02298","7.85631",3,"36","2019-02289","8.23684",4,"36","2019-02297","7.80985",4,"36.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:24",null,null,"2019-02298","7.85658",3,"36.1","2019-02289","8.23684",4,"35.9","2019-02297","7.80985",4,"36.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:29",null,null,"2019-02298","7.85658",3,"36","2019-02289","8.23687",4,"36","2019-02297","7.80985",4,"36.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:34",null,null,"2019-02298","7.85656",3,"36.2","2019-02289","8.23697",4,"35.9","2019-02297","7.80982",4,"36.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:38",null,null,"2019-02298","7.85652",3,"36.1","2019-02289","8.23687",4,"35.9","2019-02297","7.80977",4,"36.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:42",null,null,"2019-02298","7.85652",3,"36","2019-02289","8.23694",4,"35.9","2019-02297","7.80977",4,"36.5"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:47",null,null,"2019-02298","7.85652",3,"36","2019-02289","8.2368",4,"36","2019-02297","7.80979",4,"36.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:51",null,null,"2019-02298","7.85657",3,"36.1","2019-02289","8.23692",4,"35.9","2019-02297","7.80979",4,"36.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-09 05:53:55",null,null,"2019-02298","7.85657",3,"36","2019-02289","8.2368",4,"36","2019-02297","7.80978",4,"36.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:00",null,null,"2019-02298","7.85657",3,"24.4","2019-02289","8.23692",4,"24.1","2019-02297","7.80978",4,"24.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:04",null,null,"2019-02298","7.86674",3,"24.4","2019-02289","8.25458",4,"24.1","2019-02297","7.8113",4,"24.9"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:09",null,null,"2019-02298","7.86675",3,"24.4","2019-02289","8.25465",4,"24","2019-02297","7.81142",4,"24.8"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:13",null,null,"2019-02298","7.86675",3,"24.5","2019-02289","8.25465",4,"24.1","2019-02297","7.81142",4,"24.8"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:17",null,null,"2019-02298","7.86679",3,"24.4","2019-02289","8.25465",4,"24.1","2019-02297","7.81142",4,"24.9"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:22",null,null,"2019-02298","7.8668",3,"24.4","2019-02289","8.25468",4,"24.1","2019-02297","7.81142",4,"24.7"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:26",null,null,"2019-02298","7.8668",3,"24.5","2019-02289","8.25468",4,"24.1","2019-02297","7.81137",4,"25"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:31",null,null,"2019-02298","7.86671",3,"24.5","2019-02289","8.25471",4,"24.1","2019-02297","7.81145",4,"24.9"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:35",null,null,"2019-02298","7.86666",3,"24.6","2019-02289","8.25471",4,"24.2","2019-02297","7.81145",4,"24.8"
"new instrument (Tryba 108 tryboprov 39)","2023-06-16 06:12:39",null,null,"2019-02298","7.8666",3,"24.6","2019-02289","8.25471",4,"24.1","2019-02297","7.81153",4,"24.8"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:06",null,null,"2019-02298","7.8666",4,"39.5","2019-02289","8.24264",4,"38.4","2019-02297","7.81156",3,"40.1"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:10",null,null,"2019-02298","7.93846",4,"39.4","2019-02289","8.19818",4,"38.3","2019-02297","7.96381",3,"40.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:14",null,null,"2019-02298","7.93846",4,"39.4","2019-02289","8.198",4,"38.5","2019-02297","7.96381",3,"40.3"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:18",null,null,"2019-02298","7.93838",4,"39.4","2019-02289","8.19803",4,"38.4","2019-02297","7.96344",3,"40.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:23",null,null,"2019-02298","7.93837",4,"39.3","2019-02289","8.19803",4,"38.4","2019-02297","7.96344",3,"40.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:27",null,null,"2019-02298","7.93837",4,"39.4","2019-02289","8.19803",4,"38.5","2019-02297","7.96344",3,"40.1"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:31",null,null,"2019-02298","7.93825",4,"39.4","2019-02289","8.19803",4,"38.5","2019-02297","7.96326",3,"40.2"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:28:36",null,null,"2019-02298","7.93822",4,"39.3","2019-02289","8.19803",4,"38.5","2019-02297","7.96299",3,"40.2"
